class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
f,-0.196116135138,-0.980580675691,54.626001135,1.10714871779,17.4642491966,-0.40081883402,0.916157334902,103.000041012,-7.21048052518,11.6390753964,9.85375986744,0.0,625.0
f,-0.141421356237,-0.989949493661,169.499262535,0.785398163397,31.384709653,-0.382351792726,0.924016832422,346.153276566,-14.9225651046,17.1368625401,14.1717117929,3.0,750.0
f,0.0,-1.0,185.526278462,1.37340076695,2.82842712475,0.707106781187,-0.707106781187,399.910675011,-2.35619449019,10.2101761242,8.01905357589,3.0,969.0
f,0.928476690885,-0.371390676354,340.332190661,1.2490457724,18.7882942281,0.904818702201,0.42579703633,711.52626989,-6.28318530718,7.85398163397,6.16850275068,13.0,828.0
f,0.707106781187,-0.707106781187,202.0,1.32581766367,9.48683298051,0.316227766017,-0.948683298051,440.265395779,-0.785398163397,8.63937979737,7.7206958254,4.0,968.0
g,-0.928476690885,-0.371390676354,170.393661854,1.10714871779,89.185200566,0.504568019295,0.863371944127,404.407693463,-16.4933614313,16.4933614313,12.9538557764,2.0,1000.0
g,-0.668964731622,-0.743294146247,172.409396496,1.10714871779,69.4262198308,0.20165292067,0.979457043257,406.756942469,-11.317324842,17.6005101491,14.1796340597,4.0,1203.0
g,-0.4472135955,-0.894427191,177.792013319,1.10714871779,65.0,0.246153846154,0.969230769231,402.804825276,-14.334562501,20.8664577973,17.9084922848,4.0,968.0
g,-0.4472135955,-0.894427191,212.532350479,1.10714871779,50.6063237155,0.790415052175,0.612571665436,587.897208784,-14.6008145502,16.8151119857,13.5627837847,10.0,890.0
g,-0.196116135138,-0.980580675691,167.21542991,0.785398163397,69.8355210477,0.486858256227,0.873480989114,401.807378732,-15.2443156589,18.3859083125,14.7964843348,2.0,1063.0
g,0.316227766017,-0.948683298051,127.78106276,1.2490457724,68.4105255059,0.263117405792,0.964763821238,271.163320734,-9.96519746104,19.3899754218,16.8806916035,6.0,922.0
g,-0.928476690885,-0.371390676354,143.756738972,0.785398163397,41.5932686862,0.889567018144,0.456804684993,395.879088332,-13.9573134414,19.9567046393,16.9655276846,8.0,891.0
g,-0.707106781187,-0.707106781187,151.637726177,1.10714871779,65.306967469,0.428744452317,0.90342581024,367.119822484,-14.1371669412,15.7079632679,13.272348301,3.0,812.0
g,-0.759256602365,-0.650791373456,159.398870761,1.2490457724,60.166435826,0.265928998126,0.963992618206,352.778869088,-11.6390753964,17.2787595947,14.5060488512,4.0,875.0
g,-0.242535625036,0.970142500145,156.169779407,1.10714871779,47.8852795753,0.480314622866,0.877096267842,399.314624476,-18.8495559215,23.5619449019,19.4408510517,8.0,891.0
g,-0.982872186934,-0.18428853505,203.924005453,1.10714871779,72.2011080247,0.512457509479,0.858712583452,549.765291678,-16.3514643767,16.3514643767,13.5548615179,7.0,922.0
g,-0.851658316705,-0.524097425664,125.39936204,0.785398163397,32.8937684068,-0.334409845171,0.942427745481,331.108025272,-14.1371669412,15.7079632679,12.3370055014,1.0,860.0
g,-0.4472135955,-0.894427191,202.385770251,1.2490457724,61.0327780787,0.311308129797,0.950309027802,489.780470824,-12.8881211688,14.4589174956,11.7122329595,5.0,1000.0
g,-0.780868809443,-0.624695047554,200.960195064,1.10714871779,43.0464865001,0.511075392877,0.859535888021,526.877898434,-14.4589174956,16.0297138223,12.9459335096,8.0,906.0
g,-1.0,0.0,144.471450467,1.10714871779,39.9624824054,0.525492880722,0.850797997359,396.713251197,-14.9225651046,17.1368625401,14.1717117929,5.0,843.0
